#   line (B)  time (µs)
           1     64630.8
           2     32379.8
           4     16265.0
           8      8151.5
          16      4175.2
          32      2287.0
          64      1978.6
         128      1864.3
         256      1284.7
         512       630.8
        1024       308.2
