#   line (B)  time (µs)
        1024       646.7
        2048       589.7
        4096       589.7
        8192       589.8
       16384       589.7
       32768       589.7
       65536      1016.1
      131072      1228.4
      262144      1239.4
      524288      1633.0
     1048576      1707.4
     2097152      1857.7
     4194304      2082.8
     8388608      5413.6
    16777216      7834.9
    33554432      9643.2
    67108864     10186.7
